harness,model,variant,experiment,n_runs,tool_calls__delta,tool_calls__delta_ci,tool_calls__ratio,tool_calls__n,failed_calls__delta,failed_calls__delta_ci,failed_calls__ratio,failed_calls__n,error_recovery_calls__delta,error_recovery_calls__delta_ci,error_recovery_calls__ratio,error_recovery_calls__n,duplicate_commands__delta,duplicate_commands__delta_ci,duplicate_commands__ratio,duplicate_commands__n,repeated_reads__delta,repeated_reads__delta_ci,repeated_reads__ratio,repeated_reads__n,post_green_repeat_tests__delta,post_green_repeat_tests__delta_ci,post_green_repeat_tests__ratio,post_green_repeat_tests__n,post_success_calls__delta,post_success_calls__delta_ci,post_success_calls__ratio,post_success_calls__n,abandoned_exploration_calls__delta,abandoned_exploration_calls__delta_ci,abandoned_exploration_calls__ratio,abandoned_exploration_calls__n,tool_result_chars__delta,tool_result_chars__delta_ci,tool_result_chars__ratio,tool_result_chars__n,est_tool_result_tokens__delta,est_tool_result_tokens__delta_ci,est_tool_result_tokens__ratio,est_tool_result_tokens__n,induced_cost_lower_usd__delta,induced_cost_lower_usd__delta_ci,induced_cost_lower_usd__ratio,induced_cost_lower_usd__n,induced_cost_upper_usd__delta,induced_cost_upper_usd__delta_ci,induced_cost_upper_usd__ratio,induced_cost_upper_usd__n,context_growth_tokens__delta,context_growth_tokens__delta_ci,context_growth_tokens__ratio,context_growth_tokens__n,tool_wall_s__delta,tool_wall_s__delta_ci,tool_wall_s__ratio,tool_wall_s__n,wall_s__delta,wall_s__delta_ci,wall_s__ratio,wall_s__n,estimated_no_cache_cost_usd__delta,estimated_no_cache_cost_usd__delta_ci,estimated_no_cache_cost_usd__ratio,estimated_no_cache_cost_usd__n,reported_cost_usd__delta,reported_cost_usd__delta_ci,reported_cost_usd__ratio,reported_cost_usd__n,cat_test_execution__delta,cat_test_execution__delta_ci,cat_test_execution__ratio,cat_test_execution__n,cat_file_read__delta,cat_file_read__delta_ci,cat_file_read__ratio,cat_file_read__n,cat_file_search__delta,cat_file_search__delta_ci,cat_file_search__ratio,cat_file_search__n,cat_navigation__delta,cat_navigation__delta_ci,cat_navigation__ratio,cat_navigation__n,cat_code_edit__delta,cat_code_edit__delta_ci,cat_code_edit__ratio,cat_code_edit__n,tool_calls__perm_p,post_green_repeat_tests__perm_p,duplicate_commands__perm_p,abandoned_exploration_calls__perm_p,post_success_calls__perm_p,est_tool_result_tokens__perm_p,estimated_no_cache_cost_usd__perm_p
claude-code,thinkingmachines/Inkling,bounded_efficiency,screening_cc,11,-1.0,"[-3.000,3.000]",0.903,11,0.0,"[-3.000,2.000]",1.0,11,-0.5,"[-2.500,1.000]",0.857,11,0.0,"[-2.500,0.500]",1.0,11,0.0,"[0.000,0.000]",0.5,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[-0.500,0.000]",0.5,11,-32.5,"[-95.500,645.000]",0.982,11,-8.0,"[-24.250,161.000]",0.982,11,0.0001,"[-0.000,0.000]",1.09,11,0.0007,"[-0.002,0.002]",1.066,11,8.5,"[-132.000,189.000]",1.008,11,0.04,"[0.010,0.075]",1.176,11,0.1,"[-3.520,2.245]",1.005,11,0.0007,"[-0.053,0.046]",1.004,11,-0.0003,"[-0.010,0.009]",0.994,11,-0.5,"[-3.000,1.000]",0.8,11,0.5,"[-0.500,0.500]",1.091,11,0.0,"[0.000,0.000]",,11,0.5,"[0.500,1.000]",1.667,11,0.0,"[0.000,0.000]",1.0,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,thinkingmachines/Inkling,deep_thinking,pilot_b,5,-2.0,"[-3.000,20.500]",0.778,5,0.0,"[-3.000,8.000]",1.0,5,0.0,"[-2.500,8.500]",1.0,5,0.0,"[-1.500,2.000]",1.0,5,0.0,"[0.000,0.500]",2.0,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.500]",1.5,5,-89.0,"[-583.000,3794.500]",0.896,5,-21.5,"[-145.000,948.500]",0.899,5,-0.0003,"[-0.001,0.017]",0.625,5,-0.0018,"[-0.004,0.095]",0.554,5,-166.5,"[-243.000,2080.000]",0.736,5,-0.04,"[-0.065,0.315]",0.75,5,-0.79,"[-7.690,39.345]",0.932,5,-0.0363,"[-0.053,0.390]",0.796,5,-0.0072,"[-0.009,0.077]",0.884,5,0.0,"[-1.500,4.500]",1.0,5,0.0,"[-1.000,3.500]",1.0,5,0.0,"[0.000,0.000]",,5,0.0,"[-1.000,2.500]",3.0,5,0.0,"[0.000,0.000]",1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,thinkingmachines/Inkling,deep_thinking,screening_cc,11,1.0,"[-3.000,3.000]",1.083,11,-1.0,"[-2.000,2.000]",0.8,11,-1.0,"[-1.500,3.000]",0.833,11,-0.5,"[-3.500,1.000]",0.8,11,0.0,"[0.000,0.000]",1.5,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[-0.500,0.000]",0.5,11,113.0,"[-47.500,494.500]",1.051,11,28.0,"[-12.500,124.000]",1.051,11,0.0007,"[-0.000,0.001]",1.353,11,0.0037,"[-0.002,0.005]",1.419,11,184.0,"[-132.000,209.500]",1.127,11,0.045,"[-0.080,0.070]",1.243,11,2.145,"[-2.480,3.302]",1.198,11,0.0196,"[-0.053,0.046]",1.084,11,0.0038,"[-0.009,0.009]",1.052,11,-1.0,"[-2.000,0.500]",0.667,11,0.5,"[0.000,1.000]",1.143,11,0.0,"[0.000,0.000]",,11,0.0,"[-0.500,0.500]",1.0,11,0.0,"[0.000,0.500]",1.0,11,1.0,1.0,1.0,1.0,1.0,0.8127,1.0
claude-code,thinkingmachines/Inkling,exhaustive_exploration,holdout_cc,9,2.0,"[-3.000,6.000]",1.333,9,1.0,"[0.000,6.000]",1.25,9,1.0,"[0.000,7.000]",1.125,9,2.0,"[0.000,4.000]",1.667,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,1.0,"[0.000,1.000]",1.0,9,1344.0,"[1189.000,1841.000]",1.652,9,336.0,"[297.000,460.000]",1.652,9,0.0033,"[0.002,0.005]",2.789,9,0.0177,"[0.009,0.026]",3.163,9,576.0,"[535.000,577.000]",1.401,9,0.07,"[0.030,0.120]",1.385,9,2.33,"[-1.170,7.760]",1.191,9,0.0581,"[0.026,0.132]",1.319,9,0.0191,"[0.008,0.024]",1.233,9,2.0,"[0.000,5.000]",1.4,9,1.0,"[0.000,1.000]",1.4,9,0.0,"[0.000,0.000]",,9,0.0,"[-1.000,0.000]",1.0,9,0.0,"[-1.000,0.000]",1.0,9,1.0,1.0,0.5016,0.5031,1.0,0.5031,0.4985
claude-code,thinkingmachines/Inkling,exhaustive_exploration,pilot_b,4,6.0,"[5.000,6.000]",1.702,4,2.5,"[2.000,2.500]",1.5,4,3.0,"[2.000,3.000]",1.667,4,1.0,"[1.000,1.000]",1.4,4,0.25,"[0.000,0.500]",2.0,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,1.5,"[1.000,1.500]",2.0,4,1709.5,"[1709.500,2482.500]",2.883,4,428.0,"[428.000,620.000]",2.884,4,0.0038,"[0.004,0.006]",4.834,4,0.0202,"[0.020,0.031]",5.275,4,823.5,"[823.500,954.000]",2.114,4,0.125,"[0.115,0.125]",1.744,4,9.485,"[9.110,9.485]",1.581,4,0.1142,"[0.101,0.114]",1.698,4,0.0222,"[0.021,0.022]",1.387,4,1.5,"[1.000,1.500]",1.349,4,2.5,"[2.500,2.500]",2.167,4,0.0,"[0.000,0.000]",,4,0.5,"[0.000,0.500]",1.0,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,thinkingmachines/Inkling,exhaustive_exploration,screening_cc,12,5.75,"[4.500,9.250]",1.635,12,2.5,"[2.000,5.000]",1.708,12,2.75,"[1.500,5.500]",2.057,12,1.25,"[1.000,3.000]",2.0,12,0.0,"[0.000,0.500]",1.5,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,1.0,"[0.250,1.500]",2.0,12,1560.0,"[1107.750,1709.000]",2.023,12,389.75,"[276.500,428.000]",2.023,12,0.0038,"[0.003,0.007]",3.845,12,0.0211,"[0.016,0.039]",4.067,12,824.25,"[505.500,957.500]",1.884,12,0.1525,"[0.130,0.168]",1.821,12,10.7,"[6.345,15.280]",1.738,12,0.127,"[0.103,0.189]",1.743,12,0.0246,"[0.019,0.036]",1.367,12,1.75,"[1.000,3.500]",1.633,12,2.25,"[1.750,2.500]",1.766,12,0.0,"[0.000,0.000]",,12,0.25,"[0.000,0.500]",1.667,12,0.0,"[0.000,0.000]",1.0,12,0.1247,1.0,0.1886,0.1844,1.0,0.1227,0.1247
claude-code,thinkingmachines/Inkling,goal_only,pilot_b,4,-6.75,"[-8.500,-5.000]",0.283,4,-5.25,"[-5.500,-5.000]",0.0,4,-4.75,"[-5.000,-4.500]",0.0,4,-2.5,"[-2.500,-2.500]",0.0,4,-0.25,"[-0.500,0.000]",0.0,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,-0.5,"[-1.000,0.000]",0.0,4,-778.25,"[-1386.500,-160.500]",0.535,4,-194.75,"[-347.000,-40.000]",0.534,4,-0.0014,"[-0.002,-0.001]",0.229,4,-0.007,"[-0.011,-0.003]",0.156,4,-571.25,"[-870.000,-262.500]",0.439,4,-0.125,"[-0.150,-0.030]",0.25,4,-7.505,"[-10.215,-4.810]",0.475,4,-0.1128,"[-0.154,-0.072]",0.401,4,-0.0224,"[-0.031,-0.014]",0.653,4,-4.0,"[-4.500,-3.500]",0.0,4,-1.0,"[-2.000,0.000]",0.667,4,0.0,"[0.000,0.000]",,4,-0.5,"[-1.000,0.000]",0.0,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,thinkingmachines/Inkling,multiple_approaches,holdout_cc,9,9.0,"[3.000,11.000]",2.0,9,2.0,"[-1.000,5.000]",1.667,9,1.0,"[-1.000,6.000]",1.333,9,0.0,"[0.000,3.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,1.0,"[0.000,1.000]",1.0,9,1168.0,"[824.000,1717.000]",2.094,9,292.0,"[206.000,430.000]",2.095,9,0.0039,"[0.002,0.006]",4.136,9,0.0225,"[0.008,0.037]",4.716,9,774.0,"[515.000,859.000]",2.65,9,0.11,"[0.100,0.140]",1.692,9,18.69,"[10.290,27.660]",2.084,9,0.1368,"[0.131,0.229]",2.079,9,0.0315,"[0.028,0.047]",1.627,9,1.0,"[0.000,3.000]",1.2,9,2.0,"[1.000,2.000]",1.333,9,0.0,"[0.000,0.000]",,9,1.0,"[-1.000,1.000]",0.5,9,0.0,"[0.000,0.000]",1.0,9,0.4985,1.0,1.0,1.0,1.0,0.5031,0.5016
claude-code,thinkingmachines/Inkling,no_questions_autonomy,pilot_b,4,1.25,"[-2.000,7.000]",1.104,4,0.25,"[-2.000,6.500]",1.036,4,0.75,"[-1.500,6.500]",1.144,4,-1.0,"[-1.500,3.000]",0.6,4,0.0,"[0.000,0.000]",1.0,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.500]",1.5,4,158.75,"[-61.000,576.500]",1.074,4,39.75,"[-15.000,144.000]",1.074,4,0.0006,"[-0.000,0.003]",1.178,4,0.003,"[-0.001,0.014]",1.169,4,110.25,"[-111.500,422.000]",1.059,4,0.02,"[-0.040,0.100]",1.094,4,4.84,"[-1.945,12.335]",1.296,4,0.0231,"[-0.035,0.131]",1.098,4,0.004,"[-0.007,0.024]",1.054,4,-0.5,"[-1.500,4.000]",0.873,4,0.0,"[0.000,0.500]",1.0,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.500]",1.5,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,thinkingmachines/Inkling,no_questions_autonomy,screening_cc,12,-0.75,"[-4.000,2.000]",0.934,12,0.0,"[-3.000,1.250]",1.015,12,0.25,"[-2.500,2.000]",1.015,12,0.25,"[-2.500,1.000]",1.1,12,0.0,"[-0.500,0.500]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,0.500]",0.5,12,-164.5,"[-974.000,800.500]",0.824,12,-41.5,"[-243.000,200.000]",0.823,12,-0.0006,"[-0.002,0.001]",0.68,12,-0.0031,"[-0.009,0.007]",0.656,12,-196.5,"[-520.000,340.500]",0.797,12,-0.0075,"[-0.080,0.037]",0.96,12,-0.03,"[-4.700,3.135]",0.993,12,-0.0116,"[-0.071,0.022]",0.944,12,-0.0033,"[-0.013,0.006]",0.953,12,0.25,"[-3.000,1.000]",1.071,12,0.0,"[-1.500,0.750]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,0.250]",0.0,12,0.0,"[-0.750,0.000]",1.0,12,0.8147,1.0,1.0,1.0,1.0,0.8121,0.8147
claude-code,thinkingmachines/Inkling,scoped_authorization,pilot_b,5,-1.0,"[-3.000,6.500]",0.875,5,-1.0,"[-2.000,2.000]",0.8,5,-0.5,"[-1.000,2.000]",0.889,5,-0.5,"[-1.000,0.500]",0.8,5,0.0,"[0.000,0.000]",1.0,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.000]",1.0,5,-29.0,"[-168.000,1750.500]",0.966,5,-7.5,"[-42.000,437.000]",0.965,5,-0.0002,"[-0.001,0.005]",0.769,5,-0.0011,"[-0.004,0.026]",0.717,5,-67.5,"[-256.000,772.000]",0.892,5,-0.01,"[-0.070,0.125]",0.933,5,-0.17,"[-10.940,7.635]",0.99,5,-0.0179,"[-0.055,0.110]",0.887,5,-0.0035,"[-0.010,0.022]",0.939,5,-0.5,"[-1.000,1.000]",0.857,5,0.0,"[-0.500,2.000]",1.0,5,0.0,"[0.000,0.000]",,5,0.0,"[-1.000,1.000]",1.0,5,0.0,"[0.000,0.000]",1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,zai-org/GLM-5.2,adjacent_cleanup,holdout_cc,6,6.0,"[3.000,25.000]",1.339,6,4.5,"[2.000,20.000]",1.308,6,3.5,"[1.000,20.000]",1.263,6,2.0,"[1.000,18.000]",1.325,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,980.5,"[824.000,2035.000]",1.595,6,244.5,"[206.000,508.000]",1.594,6,0.0076,"[0.002,0.018]",2.249,6,0.0368,"[0.011,0.092]",2.35,6,1303.5,"[463.000,2472.000]",1.543,6,0.195,"[0.070,0.420]",1.392,6,37.96,"[19.220,41.410]",1.646,6,0.1514,"[0.066,0.775]",1.358,6,0.0197,"[0.011,0.135]",1.179,6,4.0,"[3.000,12.000]",1.359,6,0.0,"[0.000,0.000]",1.0,6,0.5,"[0.000,1.000]",,6,0.0,"[-1.000,0.000]",1.0,6,0.0,"[0.000,1.000]",1.0,6,,,,,,,
claude-code,zai-org/GLM-5.2,bounded_efficiency,holdout_cc,7,-9.0,"[-22.000,21.000]",0.716,6,-10.5,"[-26.000,21.000]",0.599,6,-10.5,"[-27.000,20.000]",0.599,6,-10.5,"[-32.000,25.000]",0.65,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,439.0,"[378.000,500.000]",1.199,6,109.0,"[94.000,124.000]",1.199,6,-0.0008,"[-0.002,0.004]",0.89,6,-0.0042,"[-0.014,0.023]",0.865,6,51.0,"[-325.000,427.000]",1.045,6,0.035,"[0.010,0.150]",1.054,6,43.705,"[-0.670,77.260]",1.92,6,-0.2531,"[-0.569,0.516]",0.691,6,-0.0171,"[-0.108,0.098]",1.062,6,-8.5,"[-23.000,24.000]",0.661,6,0.0,"[0.000,0.000]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,0.5,"[0.000,1.000]",1.5,6,,,,,,,
claude-code,zai-org/GLM-5.2,bounded_efficiency,pilot_b,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-code,zai-org/GLM-5.2,bounded_efficiency,screening_cc,12,16.5,"[-13.000,30.500]",1.84,11,15.5,"[-13.000,30.500]",2.267,11,14.5,"[-12.500,30.500]",2.074,11,7.0,"[-12.000,31.500]",2.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[-1.000,1.000]",0.5,11,729.5,"[-53.500,1639.500]",1.449,11,182.5,"[-14.000,410.000]",1.449,11,0.004,"[-0.002,0.011]",2.391,11,0.0203,"[-0.013,0.057]",2.52,11,918.0,"[-255.500,2850.500]",1.591,11,0.23,"[-0.230,0.325]",1.767,11,16.94,"[10.025,211.130]",1.401,11,0.4521,"[-0.331,0.793]",2.031,11,0.1506,"[-0.063,0.343]",2.18,11,8.5,"[-11.500,26.500]",2.455,11,0.0,"[-1.500,0.000]",1.0,11,0.0,"[-0.500,0.000]",0.0,11,0.0,"[0.000,1.000]",1.0,11,0.0,"[-0.500,1.000]",1.0,11,0.1874,1.0,0.1858,1.0,1.0,0.1874,0.1874
claude-code,zai-org/GLM-5.2,deep_thinking,holdout_cc,6,-15.5,"[-33.000,-3.000]",0.567,6,-17.5,"[-37.000,-3.000]",0.412,6,-18.0,"[-37.000,-4.000]",0.367,6,-19.5,"[-36.000,-2.000]",0.25,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,-40.0,"[-40.000,-40.000]",0.987,6,-10.0,"[-10.000,-10.000]",0.987,6,-0.0014,"[-0.007,0.000]",0.749,6,-0.0077,"[-0.040,0.003]",0.724,6,-70.0,"[-81.000,-59.000]",0.965,6,-0.095,"[-0.230,-0.030]",0.78,6,20.31,"[-16.050,27.410]",1.346,6,-0.3831,"[-0.854,-0.090]",0.578,6,-0.0592,"[-0.141,-0.018]",0.693,6,-13.0,"[-29.000,0.000]",0.436,6,0.0,"[0.000,1.000]",1.0,6,0.5,"[0.000,1.000]",,6,0.0,"[-1.000,0.000]",1.0,6,0.0,"[0.000,1.000]",1.0,6,,,,,,,
claude-code,zai-org/GLM-5.2,deep_thinking,screening_cc,11,-5.5,"[-19.000,8.500]",0.732,10,-4.25,"[-17.000,7.500]",0.63,10,-4.75,"[-17.500,7.500]",0.556,10,-2.0,"[-13.000,3.500]",0.476,10,0.0,"[0.000,0.000]",,10,0.0,"[0.000,0.000]",,10,0.0,"[0.000,0.000]",,10,0.0,"[-1.000,0.500]",1.5,10,-338.5,"[-775.500,605.000]",0.873,10,-84.75,"[-193.500,151.500]",0.874,10,-0.0006,"[-0.004,0.002]",0.785,10,-0.0028,"[-0.018,0.008]",0.77,10,61.25,"[-377.500,973.000]",1.045,10,0.07,"[-0.300,0.155]",1.309,10,25.215,"[-5.755,55.555]",1.587,10,-0.0855,"[-0.478,0.236]",0.75,10,-0.0184,"[-0.052,0.058]",0.858,10,-3.25,"[-12.500,3.500]",0.579,10,0.0,"[-0.500,0.250]",1.0,10,0.0,"[-0.500,0.500]",1.333,10,-0.5,"[-1.000,0.000]",0.667,10,0.0,"[-0.500,0.000]",1.0,10,0.6231,1.0,0.6231,1.0,1.0,1.0,0.6231
claude-code,zai-org/GLM-5.2,exhaustive_exploration,screening_cc,15,8.0,"[3.750,21.500]",1.469,12,7.5,"[2.250,19.000]",1.696,12,6.5,"[1.500,19.000]",1.626,12,2.0,"[-8.000,17.250]",1.833,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,1.0,"[-0.500,1.000]",1.5,12,147.25,"[-173.500,941.000]",1.069,12,36.75,"[-43.500,235.500]",1.069,12,0.0018,"[0.001,0.005]",1.608,12,0.0096,"[0.004,0.024]",1.724,12,844.25,"[154.250,1944.000]",1.582,12,0.095,"[0.010,0.225]",1.348,12,7.4475,"[-5.298,54.500]",1.18,12,0.2482,"[0.072,0.599]",1.527,12,0.0468,"[0.022,0.133]",1.512,12,5.0,"[-6.500,7.500]",1.878,12,0.75,"[0.000,1.250]",1.171,12,-0.25,"[-1.250,0.000]",0.0,12,-1.0,"[-1.000,0.000]",0.0,12,0.0,"[-0.250,0.000]",1.0,12,0.1259,1.0,0.4956,0.3683,1.0,0.3795,0.1874
claude-code,zai-org/GLM-5.2,multiple_approaches,holdout_cc,6,2.0,"[-26.000,14.000]",0.889,6,1.0,"[-28.000,11.000]",0.814,6,0.0,"[-29.000,11.000]",0.761,6,-1.0,"[-29.000,11.000]",0.663,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,1.000]",1.0,6,417.5,"[-504.000,1228.000]",1.105,6,103.5,"[-126.000,306.000]",1.105,6,0.0027,"[-0.006,0.006]",1.168,6,0.0137,"[-0.030,0.032]",1.173,6,1005.5,"[205.000,1806.000]",1.466,6,0.0,"[-0.210,0.230]",0.962,6,9.395,"[3.430,11.300]",1.24,6,0.0952,"[-0.738,0.386]",0.914,6,0.0113,"[-0.144,0.075]",0.891,6,-0.5,"[-19.000,6.000]",0.841,6,1.0,"[-1.000,2.000]",1.333,6,0.0,"[0.000,0.000]",,6,-0.5,"[-1.000,0.000]",0.5,6,0.0,"[0.000,0.000]",1.0,6,,,,,,,
claude-code,zai-org/GLM-5.2,no_questions_autonomy,pilot_b,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-code,zai-org/GLM-5.2,no_questions_autonomy,screening_cc,11,22.5,"[8.000,33.500]",2.098,11,20.5,"[7.000,29.500]",2.519,11,19.5,"[6.500,29.500]",1.933,11,5.0,"[-5.000,14.000]",1.714,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[-1.000,0.500]",1.0,11,885.5,"[-5.500,3085.500]",1.402,11,221.5,"[-1.500,771.000]",1.403,11,0.0054,"[0.003,0.013]",2.771,11,0.0274,"[0.014,0.068]",3.013,11,1069.0,"[111.000,3865.500]",1.691,11,0.205,"[0.050,0.625]",1.872,11,33.135,"[14.555,129.715]",1.838,11,0.6235,"[0.218,0.923]",2.161,11,0.1059,"[0.062,0.258]",1.815,11,13.5,"[-0.500,19.500]",2.737,11,0.5,"[-1.000,2.000]",1.143,11,0.0,"[-0.500,1.000]",0.667,11,0.0,"[0.000,2.000]",1.167,11,0.0,"[0.000,2.000]",1.0,11,0.1259,1.0,0.1259,1.0,1.0,0.1866,0.1259
claude-code,zai-org/GLM-5.2,scoped_authorization,pilot_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi,claude-sonnet-5,adjacent_cleanup,anthropic_pi,12,0.0,"[-0.500,1.000]",1.0,12,0.0,"[0.000,0.000]",0.5,12,0.0,"[0.000,0.000]",0.5,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[-1.000,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-19.750,693.500]",1.0,12,0.0,"[-5.000,173.500]",1.0,12,0.0,"[-0.000,0.000]",1.0,12,0.0,"[-0.000,0.001]",1.0,12,77.5,"[-102.750,431.250]",1.174,12,,,,,2.405,"[-1.495,3.510]",1.237,12,0.0019,"[-0.004,0.010]",1.08,12,0.0017,"[-0.002,0.005]",1.326,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.0,12,1.0,1.0,1.0,1.0,1.0,0.623,0.4409
pi,claude-sonnet-5,bounded_efficiency,anthropic_pi,12,0.0,"[-1.000,0.000]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",0.5,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,0.000]",0.25,12,0.0,"[0.000,0.000]",,12,2.5,"[-81.750,33.000]",1.003,12,1.0,"[-20.500,8.000]",1.005,12,0.0,"[-0.000,0.000]",1.004,12,0.0,"[-0.000,0.000]",1.004,12,18.0,"[-150.250,66.000]",1.023,12,,,,,-0.565,"[-2.772,-0.253]",0.945,12,0.0009,"[-0.007,0.001]",1.035,12,0.0008,"[-0.003,0.001]",1.112,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.0,12,1.0,1.0,1.0,1.0,1.0,0.7171,0.6874
pi,claude-sonnet-5,deep_thinking,anthropic_pi,12,0.0,"[-0.500,1.000]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",0.5,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,1.000]",0.25,12,0.0,"[0.000,0.000]",,12,0.0,"[-16.750,47.000]",1.0,12,0.0,"[-4.000,12.000]",1.0,12,0.0,"[-0.000,0.000]",1.0,12,0.0,"[-0.000,0.000]",1.0,12,22.5,"[0.000,181.500]",1.031,12,,,,,0.1925,"[-1.428,4.605]",1.029,12,0.0015,"[-0.002,0.009]",1.057,12,0.0015,"[-0.000,0.004]",1.215,12,0.0,"[-0.500,0.500]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.0,12,1.0,1.0,1.0,1.0,1.0,1.0,0.4371
pi,claude-sonnet-5,exhaustive_exploration,anthropic_pi,12,1.5,"[-1.000,2.000]",1.5,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[-1.000,0.000]",0.0,12,0.0,"[0.000,1.000]",,12,697.0,"[463.750,888.000]",2.194,12,174.0,"[115.500,222.000]",2.195,12,0.0004,"[0.000,0.001]",2.26,12,0.0011,"[0.001,0.001]",2.609,12,598.25,"[498.500,803.000]",1.951,12,,,,,1.275,"[-1.752,3.460]",1.127,12,0.0119,"[-0.000,0.015]",1.477,12,0.0055,"[0.002,0.008]",1.909,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[-1.500,1.000]",1.0,12,1.0,"[0.000,1.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.0,12,0.2165,1.0,1.0,0.2488,1.0,0.1231,0.1209
